customer_region,customer_age,vendor_count,product_count,chain_orders,first_order,last_order,last_promo,payment_method,CUI_American,CUI_Asian,CUI_Beverages,CUI_Cafe,CUI_Chicken Dishes,CUI_Chinese,CUI_Desserts,CUI_Healthy,CUI_Indian,CUI_Italian,CUI_Japanese,CUI_Noodle Dishes,CUI_OTHER,CUI_Street Food / Snacks,CUI_Thai,DOW_0,DOW_1,DOW_2,DOW_3,DOW_4,DOW_5,DOW_6,HR_1,HR_2,HR_3,HR_4,HR_5,HR_6,HR_7,HR_8,HR_9,HR_10,HR_11,HR_12,HR_13,HR_14,HR_15,HR_16,HR_17,HR_18,HR_19,HR_20,HR_21,HR_22,HR_23,total_cui_spending,total_orders,generation,health_index,weekend_orders,weekday_orders,orders_dawn,orders_morning,orders_afternoon,orders_evening,order_recency,avg_daily_orders,avg_order_value,promo_used,chain_orders_prop,city,cui_asian_spending,cui_western_spending,cui_other_spending,main_dishes_spending,snacks_beverages_spending,prop_cui_american,prop_cui_asian,prop_cui_beverages,prop_cui_cafe,prop_cui_chicken dishes,prop_cui_chinese,prop_cui_desserts,prop_cui_healthy,prop_cui_indian,prop_cui_italian,prop_cui_japanese,prop_cui_noodle dishes,prop_cui_other,prop_cui_street food / snacks,prop_cui_thai
2360,47,5,6,5,0,6,NOPROMO,DIGI,3.0,0.0,0.0,5.07,5.59,0.0,0.0,5.58,0.0,0.0,0.0,0.0,1.74,0.0,0.0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,20.98,5,Gen_X,0.2659675881792183,1,4,0,4,1,0,0.06666666666666667,0.05555555555555555,4.196,0,1.0,2,0.0,3.0,7.33,10.33,5.07,0.14299332697807435,0.0,0.0,0.24165872259294569,0.2664442326024785,0.0,0.0,0.2659675881792183,0.0,0.0,0.0,0.0,0.08293612964728313,0.0,0.0
2360,31,7,26,12,0,25,DELIVERY,CARD,0.0,0.0,27.09,2.23,0.0,58.94,0.0,5.63,0.0,0.0,0.0,0.0,3.04,0.0,0.0,5,0,3,2,0,3,3,0,0,0,0,0,0,0,1,0,0,1,3,2,1,1,2,1,1,1,2,0,0,0,96.92999999999999,16,Millennials,0.058083152790673685,8,8,0,2,10,4,0.2777777777777778,0.17777777777777778,6.0581249999999995,1,0.75,2,58.94,0.0,3.04,61.98,29.32,0.0,0.0,0.2794800371402043,0.023006293201279275,0.0,0.6080676777055607,0.0,0.058083152790673685,0.0,0.0,0.0,0.0,0.03136283916228206,0.0,0.0
2360,27,5,32,23,0,28,FREEBIE,CASH,0.0,20.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,107.83,0.0,0.0,0.0,0.0,3,3,3,4,0,3,7,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,1,10,4,1,0,0,0,130.8,23,Millennials,0.0,10,13,0,5,3,15,0.3111111111111111,0.25555555555555554,5.686956521739131,1,1.0,2,128.62,2.18,0.0,130.8,0.0,0.0,0.15894495412844034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.8243883792048928,0.0,0.0,0.0,0.0
2360,34,5,28,20,0,42,NOPROMO,CARD,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93,0.0,0.0,0.0,0.0,15.24,2,1,1,0,3,5,9,0,0,0,0,0,0,0,0,0,1,2,4,7,2,0,0,3,1,1,0,0,0,0,109.57000000000001,21,Millennials,0.0,11,10,0,3,16,2,0.4666666666666667,0.23333333333333334,5.217619047619048,0,0.9523809523809523,2,15.24,94.33000000000001,0.0,109.57000000000001,0.0,0.7702838368166469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09062699644063155,0.0,0.0,0.0,0.0,0.13908916674272154
4660,36,8,25,6,0,49,NOPROMO,DIGI,83.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.94,0.0,0.0,6.44,0.0,0.0,3,6,2,1,0,4,5,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,0,3,2,5,1,1,2,0,104.42,21,Millennials,0.0,8,13,0,1,9,11,0.5444444444444444,0.23333333333333334,4.972380952380952,0,0.2857142857142857,4,0.0,97.98,6.44,104.42,0.0,0.7952499521164529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14307603907297453,0.0,0.0,0.06167400881057269,0.0,0.0
8670,27,20,29,15,0,59,FREEBIE,CASH,5.64,99.88,64.46,0.0,0.0,0.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,29.66,0.0,9,4,4,2,2,1,4,0,0,0,2,1,2,0,2,1,2,3,1,3,1,3,4,0,0,0,1,0,0,0,223.54,26,Millennials,0.0,13,13,3,10,12,1,0.6555555555555556,0.28888888888888886,8.597692307692308,1,0.5769230769230769,8,99.88,5.64,0.0,105.52,118.01999999999998,0.02523038382392413,0.44681041424353585,0.2883600250514449,0.0,0.0,0.0,0.1069159881900331,0.0,0.0,0.0,0.0,0.0,0.0,0.13268318869106202,0.0
4660,39,4,23,0,0,70,DELIVERY,DIGI,0.0,156.58,0.0,0.0,0.0,0.0,0.0,0.0,61.23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,6,3,0,0,0,0,217.81,15,Millennials,0.0,10,5,0,0,6,9,0.7777777777777778,0.16666666666666666,14.520666666666667,1,0.0,4,217.81,0.0,0.0,217.81,0.0,0.0,0.7188834305128323,0.0,0.0,0.0,0.0,0.0,0.0,0.2811165694871677,0.0,0.0,0.0,0.0,0.0,0.0
4660,34,4,95,8,0,71,NOPROMO,CARD,0.0,896.71,0.0,9.08,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,8,9,9,8,10,4,6,0,0,0,0,0,0,1,0,0,0,3,13,11,6,7,10,3,0,0,0,0,0,0,907.8600000000001,54,Millennials,0.0,14,40,0,4,50,0,0.7888888888888889,0.6,16.812222222222225,0,0.14814814814814814,4,896.71,2.07,0.0,898.7800000000001,9.08,0.0,0.9877183706738923,0.0,0.010001542087987134,0.0,0.0,0.0,0.0,0.0,0.0022800872381204145,0.0,0.0,0.0,0.0,0.0
4660,20,4,32,7,0,71,NOPROMO,CARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.94,0.0,0.0,49.21,0.0,0.0,10,3,4,4,4,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,12,8,2,0,0,0,0,190.15,30,Gen_Z,0.0,15,15,0,1,19,10,0.7888888888888889,0.3333333333333333,6.338333333333334,0,0.23333333333333334,4,0.0,140.94,49.21,190.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412043123849592,0.0,0.0,0.25879568761504074,0.0,0.0
2360,25,4,29,4,0,75,NOPROMO,CARD,1.66,0.0,0.0,0.0,1.83,0.0,0.0,0.0,116.52,0.0,0.0,0.0,0.0,8.9,0.0,4,4,1,2,4,7,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,12,9,1,0,0,0,128.91,25,Gen_Z,0.0,7,18,0,2,1,22,0.8333333333333334,0.2777777777777778,5.1564,0,0.16,2,116.52,1.66,1.83,120.00999999999999,8.9,0.012877201148087812,0.0,0.0,0.0,0.014195950663253434,0.0,0.0,0.0,0.903886432394694,0.0,0.0,0.0,0.0,0.06904041579396479,0.0
